CODIGO,PECA,DESCRICAO
501097004,778002006,LAT DIR/ESQ 328X215X15 MDP 2 OFF WHITE
501106002,770002006,LAT ESQ 380X360X15 MDP 2 OFF W
501106002,770008006,PTA BASC 527X250X15 MDP 8 OFF WHITE
501106004,606004410,FUNDO MENOR 1335X145 1LD ALECRIM RACK SIRIUS 1.4
501106004,770007111,PTA 374X335X15 MDP 7 ALECRIM
501106012,770005116,0.9/1.4/1.6 LAT DIR 380X360X15 MDP 5 CINAMO
501106012,770014116,1.4 BASE 1360X380X15 MDP 6 CINAMOMO
501113001,754003116,LAT ESQ 230X130X15 MDP 3 CINAMOMO
501113001,754004116,LAT DIR 230X115X15 MDP 4 CINAMOMO
501113001,754007116,PAINEL SUP 1360X540X12 MDP 7 CINAMOMO
501113001,754009006,APLIQUE 835X200X12 MDF 9 OFF WHITE
501113002,754002006,TAMPO MENOR 525X235X15 MDP 2 OFF WHITE
501113002,754004006,LAT DIR 230X115X15 MDP 4 OFF WHITE
501113002,754006006,PAINEL INF 1360X540X12 MDP 6 OFF WHITE
501113002,754007006,PAINEL SUP 1360X540X12 MDP 7 OFF WHITE
501113004,754005070,BASE 1350X235X15 MDP 5 PTO AC
501113004,754006070,PAINEL INF 1360X540X12 MDP 6 PTO AC
501114009,773001116,PNL INF 1600X540X15 MDP 1 CINAMO
501114009,773003116,PNL SUP 1600X540X15 MDP 3 CINAMO
501118001,606003144,F GAV 790 X 310 OFF WHITE ESCRIVANINHA TAURUS
501118001,760001006,TAMPO 1250X540X25 MDF 1 OFF WHITE
501118001,760007006,LAT GAV 300X75X15 MDP 7 OFF WHITE
501118002,760004021,LAT ESQ 376X85X15 MDP 4 BCO AC
501118002,760006021,FRENTE GAV 900X90X15 MDF 6 BCO AC
501118005,760001116,TAMPO 1250X540X25 MDF 1 CINAMOMO
501118005,760009116,C F GAV 810X75X15 MDP 9 CINAMOMO
501134001,385001001,BASE DIR/ESQ 350X300X12 MDF N 1 BRANCO
501134001,385012001,FRENTE GAV 268X100X12 MDF N 12 BRANCO
501134002,385001009,BASE DIR/ESQ 350X300X12 MDF N 1 ROSA
501134002,385002009,PES 540X130X25 MDF N 2 ROSA
501134002,385005009,FUNDO TRAS 907X210X12 MDF N 5 ROSA
501134002,385012009,FRENTE GAV 268X100X12 MDF N 12 ROSA
501134002,385016009,LAT GAV 300X70X12 MDP 13 ROSA
501135001,602002006,ESPELHO
501135001,743001006,TAMPO 1200X400X15 MDP 1 OFF WHITE
501135001,743003006,DIV 800X380X15 MDP 3 OFF WHITE
501135001,743004006,LAT DIR 800X380X15 MDP 4 OFF WHITE
501135001,743009006,MOLD ESPELHO 1180X680X15 MDP 9 OFF WHITE
501135001,743010006,PORTA 600X395X15 MDP 10 OFF WHITE
501135001,743016006,C F GAV 729X100X12 MDP 16 OFF WHITE
501135002,743003021,DIV 800X380X15 MDP 3 BRANCO AC
501135002,743004021,LAT DIR 800X380X15 MDP 4 BRANCO AC
501135002,743005021,BASE 380X378X15 MDP 5 BRANCO AC
501135002,743008021,PRAT MOVEL 380X350X15 MDP 8 BRANCO AC
501135002,743010021,PORTA 600X395X15 MDP 10 BRANCO AC
501135002,743011021,FR GAV MENOR 395X120X15 MDP 11 BRANCO AC
501135002,743012021,FR GAV MAIOR 768X120X15 MDP 12 BRANCO AC
501138002,606004375,F TRAS 440X345 BRANCO ACETINADO LIVREIRO TAURUS
501138002,761001021,TAMPO 710X350X25 MDF 1 BCO AC
501138003,761004116,DIV 674X325X15 MDP 4 CINAMOMO
501138003,761011116,PORTA ESQ 355X316X15 MDP 11 CINAMO
501139001,797002001,TAMPO 600X318X15 MDP 2 BCO
501139001,797008001,PRAT MOV 600X295X15 MDP 8 BCO
501139002,606004320,F TRAS 625 X 320 CINAMOMO LIVREIRO ENCANTO
501139002,797006116,LAT DIR 1740X320X15 MDP 6 CINAMOMO
501139003,797005001,BATENTE PTA 600X50X15 MDP 5 BCO
501139003,797009001,PORTA 590X296X15 MDP 9 BCO
501139004,797004116,BASE 600X318X15 MDP 4 CINAMOMO
501139004,797009006,PORTA 590X296X15 MDP 9 OFF WHITE
501140002,483001006,LAT DIR/ESQ 420X385X15 MDF 1 OFF WHITE
501141001,727001116,BASE 810X400X15 MDP 1 CINAMOMO
501141001,727005116,PRAT MOV 760X380X15 MDP 5 CINAMO
501141001,727007116,PTA ESQ 503X388X15 MDP 7 CINAMO
501141001,727008116,PTA DIR 503X388X15 MDP 8 CINAMO
501141002,727005006,PRAT MOV 760X380X15 MDP 5 OFF W
501141002,727007006,PTA ESQ 503X388X15 MDP 7 OFF WH
501141007,728003116,LAT ESQ 510X380X15 MDP 3 CINAMO
501141007,728008116,PTA DIR 503X388X15 MDP 8 CINAMO
501141008,728001006,BASE 1600X400X15 MDP 1 OFF WHIT
501141008,728002006,LAT DIR 510X380X15 MDP 2 OFF WH
501141008,728004006,DIV 510X380X15 MDP 4 OFF WHITE
501141009,603001240,KIT BUFFET 4 PORTAS PRISM
501141009,603014112,TRAVESSA MADEIRA 1360X55X20 BUFFET 4 PT PRISM
501141009,728006116,TAMPO 1620X415X25 MDF 6 CINAMOMO
501145003,799008006,1.6 PORTA 546X165X15 MDP 5 OFF WHITE
501145005,799002006,LAT ESQ 279X130X15 MDP 2 OFF WHITE
501145005,799003006,LAT DIR 279X130X15 MDP 3 OFF WHITE
501145005,799005006,2.0 PORTA 680X165X15 MDP 5 OFF WHITE
501145005,799008116,1.6 PORTA 546X165X15 MDP 5 CINAMOMO
501145006,799001006,2.0 TAMPO 2000X280X15 MDP 1 OFF WHIT
501145006,799002006,LAT ESQ 279X130X15 MDP 2 OFF WHITE
501145006,799003006,LAT DIR 279X130X15 MDP 3 OFF WHITE
501145006,799005006,2.0 PORTA 680X165X15 MDP 5 OFF WHITE
501147001,808001006,TAMPO 680X302X15 MDP 1 OFF WHITE
501147004,802001116,BASE 1100X350X15 MDP 1 CINAMOMO
501147004,802008116,TAMPO 1100X350X15 MDP 8 CINAMOMO
501149002,803002108,LAT ESQ 350X320X12 MDP 2 GRAFITE
501149002,803003108,LAT DIR 350X320X12 MDP 3 GRAFITE
501149002,803007108,FRENTE GAV 417X141X12MDP 7 GRAFITE
501149003,606003173,F GAV 398X304 1 LD BRANCO MESA CABECEIRA MADERO
501149003,803001006,BASE 451X351X12 MDP 1 OFF WHITE
501149003,803004116,TAMPO 451X351X12 MDP 4 CINAMOMO
501149003,803007006,FRENTE GAV 417X141X12MDP 7 OFF WHITE
501149004,803002070,LAT ESQ 350X320X12 MDP 2 PTO AC
501149004,803003070,LAT DIR 350X320X12 MDP 3 PTO AC
501149004,803007070,FRENTE GAV 417X141X12MDP 7 PTO AC
501151002,804001116,TAMPO 1600X400X25 MDP 1 CINAMOMO
